model,fam_all,fam_all_crit,n_families
llama31_70b,0.3046953046953047,0.2627372627372627,2002
pythia410,0.25874125874125875,0.22277722277722278,2002
qwen25_14b,0.2707292707292707,0.2162837162837163,2002
qwen25_32b,0.32017982017982016,0.23926073926073926,2002
qwen25_72b,0.26323676323676326,0.23376623376623376,2002
