model,n_items,acc,acc_crit,n_v2,acc_v2_congr_crit,acc_v2_incongr_crit,v2_drop_crit,v2_drop_crit_ci_lo,v2_drop_crit_ci_hi,p_perm_one_sided,p_perm_two_sided
llama31_70b,6002,0.6119626791069643,0.6406197934021993,2000,0.6899302093718843,0.38214643931795383,0.3077837700539305,0.2717892633553623,0.33676941036064,1.0,1.0
pythia410,6002,0.6106297900699766,0.6134621792735755,2000,0.4626121635094716,0.4653961885656971,-0.002784025056225492,-0.03557403309399408,0.030836212941639504,1.0,1.0
qwen25_14b,6002,0.589303565478174,0.586804398533822,2000,0.6490528414755733,0.354062186559679,0.29499065491589427,0.26243679730730635,0.32337040842364545,1.0,1.0
qwen25_32b,6002,0.6501166277907364,0.6184605131622792,2000,0.6221335992023929,0.3921765295887663,0.22995706961362655,0.19778427118296896,0.2633002508691972,1.0,1.0
qwen25_72b,6002,0.5783072309230256,0.6269576807730757,2000,0.7467597208374875,0.29889669007021064,0.4478630307672769,0.4195125434590147,0.4765182511659128,1.0,1.0
qwen25_7b,6002,0.6186271242919027,0.6034655114961679,2000,0.5663010967098704,0.42527582748244735,0.14102526922742303,0.10787618600408978,0.17416977994458155,1.0,1.0
